energy	PL
3.3761	2.21E-07
3.376	2.21E-07
3.3759	2.21E-07
3.3758	2.21E-07
3.3757	2.21E-07
3.3756	2.21E-07
3.3755	2.22E-07
3.3754	2.22E-07
3.3753	2.22E-07
3.3752	2.22E-07
3.3751	2.22E-07
3.375	2.22E-07
3.3749	2.22E-07
3.3748	2.22E-07
3.3747	2.23E-07
3.3746	2.23E-07
3.3745	2.23E-07
3.3744	2.23E-07
3.3743	2.23E-07
3.3742	2.23E-07
3.3741	2.23E-07
3.374	2.23E-07
3.3739	2.24E-07
3.3738	2.24E-07
3.3737	2.24E-07
3.3736	2.24E-07
3.3735	2.24E-07
3.3734	2.24E-07
3.3733	2.24E-07
3.3732	2.25E-07
3.3731	2.25E-07
3.373	2.25E-07
3.3729	2.25E-07
3.3728	2.25E-07
3.3727	2.25E-07
3.3726	2.25E-07
3.3725	2.25E-07
3.3724	2.26E-07
3.3723	2.26E-07
3.3722	2.26E-07
3.3721	2.26E-07
3.372	2.26E-07
3.3719	2.26E-07
3.3718	2.26E-07
3.3717	2.26E-07
3.3716	2.27E-07
3.3715	2.27E-07
3.3714	2.27E-07
3.3713	2.27E-07
3.3712	2.27E-07
3.3711	2.27E-07
3.371	2.27E-07
3.3709	2.27E-07
3.3708	2.28E-07
3.3707	2.28E-07
3.3706	2.28E-07
3.3705	2.28E-07
3.3704	2.28E-07
3.3703	2.28E-07
3.3702	2.28E-07
3.3701	2.28E-07
3.37	2.29E-07
3.3699	2.29E-07
3.3698	2.29E-07
3.3697	2.29E-07
3.3696	2.29E-07
3.3695	2.29E-07
3.3694	2.29E-07
3.3693	2.29E-07
3.3692	2.30E-07
3.3691	2.30E-07
3.369	2.30E-07
3.3689	2.30E-07
3.3688	2.30E-07
3.3687	2.30E-07
3.3686	2.30E-07
3.3685	2.30E-07
3.3684	2.31E-07
3.3683	2.31E-07
3.3682	2.31E-07
3.3681	2.31E-07
3.368	2.31E-07
3.3679	2.31E-07
3.3678	2.31E-07
3.3677	2.32E-07
3.3676	2.32E-07
3.3675	2.32E-07
3.3674	2.32E-07
3.3673	2.32E-07
3.3672	2.32E-07
3.3671	2.32E-07
3.367	2.32E-07
3.3669	2.33E-07
3.3668	2.33E-07
3.3667	2.33E-07
3.3666	2.33E-07
3.3665	2.33E-07
3.3664	2.33E-07
3.3663	2.33E-07
3.3662	2.33E-07
3.3661	2.34E-07
3.366	2.34E-07
3.3659	2.34E-07
3.3658	2.34E-07
3.3657	2.34E-07
3.3656	2.34E-07
3.3655	2.34E-07
3.3654	2.34E-07
3.3653	2.35E-07
3.3652	2.35E-07
3.3651	2.35E-07
3.365	2.35E-07
3.3649	2.35E-07
3.3648	2.35E-07
3.3647	2.35E-07
3.3646	2.36E-07
3.3645	2.36E-07
3.3644	2.36E-07
3.3643	2.36E-07
3.3642	2.36E-07
3.3641	2.36E-07
3.364	2.36E-07
3.3639	2.36E-07
3.3638	2.37E-07
3.3637	2.37E-07
3.3636	2.37E-07
3.3635	2.37E-07
3.3634	2.37E-07
3.3633	2.37E-07
3.3632	2.37E-07
3.3631	2.37E-07
3.363	2.38E-07
3.3629	2.38E-07
3.3628	2.38E-07
3.3627	2.38E-07
3.3626	2.38E-07
3.3625	2.38E-07
3.3624	2.38E-07
3.3623	2.39E-07
3.3622	2.39E-07
3.3621	2.39E-07
3.362	2.39E-07
3.3619	2.39E-07
3.3618	2.39E-07
3.3617	2.39E-07
3.3616	2.39E-07
3.3615	2.40E-07
3.3614	2.40E-07
3.3613	2.40E-07
3.3612	2.40E-07
3.3611	2.40E-07
3.361	2.40E-07
3.3609	2.40E-07
3.3608	2.41E-07
3.3607	2.41E-07
3.3606	2.41E-07
3.3605	2.41E-07
3.3604	2.41E-07
3.3603	2.41E-07
3.3602	2.41E-07
3.3601	2.41E-07
3.36	2.42E-07
3.3599	2.42E-07
3.3598	2.42E-07
3.3597	2.42E-07
3.3596	2.42E-07
3.3595	2.42E-07
3.3594	2.42E-07
3.3593	2.43E-07
3.3592	2.43E-07
3.3591	2.43E-07
3.359	2.43E-07
3.3589	2.43E-07
3.3588	2.43E-07
3.3587	2.43E-07
3.3586	2.43E-07
3.3585	2.44E-07
3.3584	2.44E-07
3.3583	2.44E-07
3.3582	2.44E-07
3.3581	2.44E-07
3.358	2.44E-07
3.3579	2.44E-07
3.3578	2.45E-07
3.3577	2.45E-07
3.3576	2.45E-07
3.3575	2.45E-07
3.3574	2.45E-07
3.3573	2.45E-07
3.3572	2.45E-07
3.3571	2.45E-07
3.357	2.46E-07
3.3569	2.46E-07
3.3568	2.46E-07
3.3567	2.46E-07
3.3566	2.46E-07
3.3565	2.46E-07
3.3564	2.46E-07
3.3563	2.47E-07
3.3562	2.47E-07
3.3561	2.47E-07
3.356	2.47E-07
3.3559	2.47E-07
3.3558	2.47E-07
3.3557	2.47E-07
3.3556	2.47E-07
3.3555	2.48E-07
3.3554	2.48E-07
3.3553	2.48E-07
3.3552	2.48E-07
3.3551	2.48E-07
3.355	2.48E-07
3.3549	2.48E-07
3.3548	2.49E-07
3.3547	2.49E-07
3.3546	2.49E-07
3.3545	2.49E-07
3.3544	2.49E-07
3.3543	2.49E-07
3.3542	2.49E-07
3.3541	2.50E-07
3.354	2.50E-07
3.3539	2.50E-07
3.3538	2.50E-07
3.3537	2.50E-07
3.3536	2.50E-07
3.3535	2.50E-07
3.3534	2.50E-07
3.3533	2.51E-07
3.3532	2.51E-07
3.3531	2.51E-07
3.353	2.51E-07
3.3529	2.51E-07
3.3528	2.51E-07
3.3527	2.51E-07
3.3526	2.52E-07
3.3525	2.52E-07
3.3524	2.52E-07
3.3523	2.52E-07
3.3522	2.52E-07
3.3521	2.52E-07
3.352	2.52E-07
3.3519	2.53E-07
3.3518	2.53E-07
3.3517	2.53E-07
3.3516	2.53E-07
3.3515	2.53E-07
3.3514	2.53E-07
3.3513	2.53E-07
3.3512	2.53E-07
3.3511	2.54E-07
3.351	2.54E-07
3.3509	2.54E-07
3.3508	2.54E-07
3.3507	2.54E-07
3.3506	2.54E-07
3.3505	2.54E-07
3.3504	2.55E-07
3.3503	2.55E-07
3.3502	2.55E-07
3.3501	2.55E-07
3.35	2.55E-07
3.3499	2.55E-07
3.3498	2.55E-07
3.3497	2.56E-07
3.3496	2.56E-07
3.3495	2.56E-07
3.3494	2.56E-07
3.3493	2.56E-07
3.3492	2.56E-07
3.3491	2.56E-07
3.349	2.57E-07
3.3489	2.57E-07
3.3488	2.57E-07
3.3487	2.57E-07
3.3486	2.57E-07
3.3485	2.57E-07
3.3484	2.57E-07
3.3483	2.57E-07
3.3482	2.58E-07
3.3481	2.58E-07
3.348	2.58E-07
3.3479	2.58E-07
3.3478	2.58E-07
3.3477	2.58E-07
3.3476	2.58E-07
3.3475	2.59E-07
3.3474	2.59E-07
3.3473	2.59E-07
3.3472	2.59E-07
3.3471	2.59E-07
3.347	2.59E-07
3.3469	2.59E-07
3.3468	2.60E-07
3.3467	2.60E-07
3.3466	2.60E-07
3.3465	2.60E-07
3.3464	2.60E-07
3.3463	2.60E-07
3.3462	2.60E-07
3.3461	2.61E-07
3.346	2.61E-07
3.3459	2.61E-07
3.3458	2.61E-07
3.3457	2.61E-07
3.3456	2.61E-07
3.3455	2.61E-07
3.3454	2.62E-07
3.3453	2.62E-07
3.3452	2.62E-07
3.3451	2.62E-07
3.345	2.62E-07
3.3449	2.62E-07
3.3448	2.62E-07
3.3447	2.63E-07
3.3446	2.63E-07
3.3445	2.63E-07
3.3444	2.63E-07
3.3443	2.63E-07
3.3442	2.63E-07
3.3441	2.63E-07
3.344	2.64E-07
3.3439	2.64E-07
3.3438	2.64E-07
3.3437	2.64E-07
3.3436	2.64E-07
3.3435	2.64E-07
3.3434	2.64E-07
3.3433	2.65E-07
3.3432	2.65E-07
3.3431	2.65E-07
3.343	2.65E-07
3.3429	2.65E-07
3.3428	2.65E-07
3.3427	2.65E-07
3.3426	2.66E-07
3.3425	2.66E-07
3.3424	2.66E-07
3.3423	2.66E-07
3.3422	2.66E-07
3.3421	2.66E-07
3.342	2.66E-07
3.3419	2.67E-07
3.3418	2.67E-07
3.3417	2.67E-07
3.3416	2.67E-07
3.3415	2.67E-07
3.3414	2.67E-07
3.3413	2.67E-07
3.3412	2.68E-07
3.3411	2.68E-07
3.341	2.68E-07
3.3409	2.68E-07
3.3408	2.68E-07
3.3407	2.68E-07
3.3406	2.68E-07
3.3405	2.69E-07
3.3404	2.69E-07
3.3403	2.69E-07
3.3402	2.69E-07
3.3401	2.69E-07
3.34	2.69E-07
3.3399	2.69E-07
3.3398	2.70E-07
3.3397	2.70E-07
3.3396	2.70E-07
3.3395	2.70E-07
3.3394	2.70E-07
3.3393	2.70E-07
3.3392	2.70E-07
3.3391	2.71E-07
3.339	2.71E-07
3.3389	2.71E-07
3.3388	2.71E-07
3.3387	2.71E-07
3.3386	2.71E-07
3.3385	2.71E-07
3.3384	2.72E-07
3.3383	2.72E-07
3.3382	2.72E-07
3.3381	2.72E-07
3.338	2.72E-07
3.3379	2.72E-07
3.3378	2.72E-07
3.3377	2.73E-07
3.3376	2.73E-07
3.3375	2.73E-07
3.3374	2.73E-07
3.3373	2.73E-07
3.3372	2.73E-07
3.3371	2.73E-07
3.337	2.74E-07
3.3369	2.74E-07
3.3368	2.74E-07
3.3367	2.74E-07
3.3366	2.74E-07
3.3365	2.74E-07
3.3364	2.74E-07
3.3363	2.75E-07
3.3362	2.75E-07
3.3361	2.75E-07
3.336	2.75E-07
3.3359	2.75E-07
3.3358	2.75E-07
3.3357	2.75E-07
3.3356	2.76E-07
3.3355	2.76E-07
3.3354	2.76E-07
3.3353	2.76E-07
3.3352	2.76E-07
3.3351	2.76E-07
3.335	2.77E-07
3.3349	2.77E-07
3.3348	2.77E-07
3.3347	2.77E-07
3.3346	2.77E-07
3.3345	2.77E-07
3.3344	2.77E-07
3.3343	2.78E-07
3.3342	2.78E-07
3.3341	2.78E-07
3.334	2.78E-07
3.3339	2.78E-07
3.3338	2.78E-07
3.3337	2.78E-07
3.3336	2.79E-07
3.3335	2.79E-07
3.3334	2.79E-07
3.3333	2.79E-07
3.3332	2.79E-07
