phononEnergy	Sk
0.070050712	1.77E-04
0.070366246	0.012482322
0.07109101	9.49E-04
0.071231706	6.95E-05
0.07151718	1.00E-08
0.07165248	0.004675817
0.072123904	2.15E-04
0.072716392	0
0.073495909	5.89E-08
0.074091219	2.58E-29
0.074290844	0.012677075
0.074335342	2.09E-25
0.074457319	8.25E-29
0.074550399	2.19E-29
0.074865739	1.12E-30
0.074879742	0.001814652
0.075008566	1.22E-29
0.075048218	0.003738922
0.075059064	9.92E-08
0.075074433	1.03E-27
0.075127044	9.80E-04
0.075160526	3.69E-04
0.075241803	2.67E-04
0.075342919	2.43E-30
0.07538203	2.13E-29
0.075458118	5.32E-05
0.075480022	1.39E-05
0.075567284	0.006604173
0.075587377	0.002454016
0.075595208	2.20E-26
0.075625609	8.32E-05
0.075801613	1.64E-28
0.075925042	1.69E-07
0.076013338	0.004475666
0.076103289	3.03E-06
0.076588776	1.37E-05
0.076743646	7.37E-32
0.076848472	0
0.077648968	3.11E-29
0.077681553	0
0.077701005	7.23E-29
0.077824522	1.55E-28
0.077876599	1.40E-28
0.077961279	0.035404711
0.078057688	0
0.078062136	1.37E-29
0.078082826	7.63E-29
0.07810466	7.26E-29
0.078202381	7.27E-29
0.078230797	7.28E-29
0.078233574	0
0.078342875	0
0.078407074	0
0.078455036	0
0.078536035	0
0.07855574	0
0.07856696	7.31E-29
0.078704259	0
0.078717862	0
0.078738475	0
0.078762017	0
0.078994786	0
0.079228628	0
0.080397272	0
0.080983495	0
0.08105922	0
0.081273045	0
0.081380275	0
0.08171262	0
0.082230166	0
0.083041842	3.48E-30
0.083154871	0
0.083400912	0.022127656
0.083565086	0
0.083656643	0
0.083689881	0
0.08378953	0
0.08380062	0
0.083822452	0
0.083857869	0
0.083931311	0
0.084294836	0
0.084477136	0
0.084499035	0
0.084571903	0
0.084587342	0
0.08468497	8.93E-30
0.084785562	1.06E-05
0.085563966	0
0.086654	0.013877266
0.086726425	3.19E-28
0.087332415	3.53E-30
0.087511671	0
0.087679018	0
0.087728414	2.21E-29
0.087948303	3.90E-06
0.088137434	5.85E-06
0.088270087	4.24E-30
0.088336183	3.11E-04
0.088408241	1.12E-05
0.088429096	1.66E-04
0.088454437	0.00306802
0.088514217	6.87E-04
0.088597447	1.03E-05
0.088618824	4.62E-05
0.088667684	2.38E-06
0.08869992	7.44E-05
0.088751696	2.06E-29
0.088779499	0.004254971
0.088899026	0.004329253
0.088944268	0.009163604
0.089075665	8.35E-05
0.089115262	3.70E-04
0.08914764	1.23E-04
0.08915438	1.15E-28
0.089327813	5.28E-06
0.089357336	6.66E-30
0.089365044	7.88E-05
0.089389874	4.37E-05
0.089624486	2.50E-32
0.089701774	6.63E-32
0.089742937	1.51E-29
0.089772809	3.56E-32
0.089803369	0
0.089830098	0
0.08985069	0
0.08986083	0
0.090775819	4.84E-04
0.091111787	0
0.09182394	1.36E-05
0.092083304	2.07E-04
0.09219081	1.85E-28
0.092274953	7.42E-05
0.092335956	2.44E-04
0.092559686	1.98E-30
0.092779142	6.23E-30
0.09278789	1.22E-05
0.09286901	3.48E-29
0.092877406	6.85E-29
0.093400321	0
0.093674902	0
0.093768249	8.72E-29
0.093818416	0
0.093928077	1.78E-27
0.093944932	0.025751894
0.093962601	0
0.095133413	0
0.095885806	0
0.096051305	0
0.096174163	0
0.096197445	0
0.096246747	0
0.09739668	0
0.098922861	0.00776429
0.10085384	3.46E-05
0.10145732	0.00597081
0.101846693	5.08E-05
0.102254006	0.001778265
0.102568005	7.73E-04
0.102791148	1.88E-06
0.103577843	0.002670968
0.103605022	6.80E-04
0.103655085	1.64E-04
0.103988149	1.94E-05
0.104337024	0.011548709
0.104781994	0.006379469
0.105638266	6.22E-05
0.105906383	0.002683553
0.105951485	0.009258402
0.106275262	1.25E-05
0.107390971	0.00591299
0.110850274	0.001563582
0.112791981	7.04E-05
0.113822403	0.004665138
0.113966292	4.83E-06
0.114627737	5.81E-06
0.114735632	1.36E-04
0.11479973	1.28E-06
0.114985068	3.01E-05
0.114993719	0.007218521
0.115305892	5.15E-04
0.115357389	2.57E-05
0.116580824	0.002337795
0.119121897	0.011974484
0.120304527	3.35E-06
0.121995177	0.055336213
0.122428215	2.80E-06
0.123000987	4.89E-04
0.123066402	6.78E-06
0.123422989	0.005354122
0.123466041	1.58E-05
0.123507476	2.29E-04
0.124112388	6.25E-04
0.124230722	4.20E-06
0.124387056	0.001738707
0.125464977	0.006893417
0.126170369	7.26E-05
0.126873862	0.040742255
0.127124926	1.86E-05
0.127376295	2.47E-05
0.127772635	0.002180307
0.128418976	0.00407007
0.128833953	1.33E-06
0.129278737	1.37E-04
0.129526772	2.65E-07
0.130129874	7.04E-05
0.130161195	2.53E-04
0.130744169	0.005016597
0.131916723	2.21E-05
0.133012455	0.038839627
0.133611004	2.47E-05
0.134895209	0.001925423
0.135066858	3.35E-07
0.135242092	0.00264314
0.135479412	5.20E-04
0.135498289	3.34E-04
0.135658667	9.29E-07
0.135980368	2.80E-06
0.136203372	1.91E-04
0.136346646	2.10E-06
0.136544718	3.75E-05
0.136630947	1.24E-04
0.136673304	2.21E-05
0.136749635	1.25E-06
0.137099636	0.001192381
0.137539923	0.00133002
0.138298795	1.26E-05
0.140438144	0.027263086
0.142501724	5.23E-06
0.142726952	6.62E-06
0.142986111	1.25E-04
0.143456682	2.41E-04
0.14416764	0.002419606
